0,1
Cafe Foodeli,龍翔道120號新光中心2樓205-208A號舖
竹園餐廳,竹園道15號竹園廣場1樓110號舖
元味軒,鳳凰新邨銀鳳街8號地舖
半島冰廳,竹園道15號竹園廣場地下竹園市場W-CY101號舖
廣東燒味餐廳,龍翔道120號新光中心地下2號舖
幸福城茶餐廳,彩虹道121號啟德花園2期地下5號舖
金鳳街5號鳳凰新邨地舖,黃大仙 / 粵菜 (廣東) / 中菜館 / $101-200
正德街103號黃大仙中心南館L1樓130號舖,黃大仙 / 港式 / 西式 / $50以下
龍翔道136號黃大仙中心北館地下低層LG04及07號舖,黃大仙 / 港式 / 西式 / $50以下
彩虹道121號大成街街市地下L4號舖,黃大仙 / 粵菜 (廣東) / 燒臘 / $51-100
振興肉丸,正德街103號黃大仙中心南館地下G13A號舖
港鐵黃大仙站WTS 10號舖,黃大仙 / 日本菜 / 壽司/刺身 / $50以下
原汁原味車仔麵・甜品,環鳳街52號地舖
竹園道15號竹園廣場2樓S220號舖,黃大仙 / 西式 / 麵包店 / $50以下
美心MX (黃大仙中心南館),正德街103號黃大仙中心南館地下G4A號舖
魚尚,竹園道15號竹園廣場2樓S221號舖
彩虹道121號啟德花園商場2樓106號舖,黃大仙 / 港式 / 網店/食品分銷 / $50以下
龍翔道120號新光中心地下3號舖,黃大仙 / 粵菜 (廣東) / 港式 / $50以下
正德街103號黃大仙中心南館地下G11號舖,黃大仙 / 日本菜 / 壽司/刺身 / $50以下
八福小廚,環鳳街14號華頌樓地舖
龍翔道136號黃大仙中心北館地下G07C號舖,黃大仙 / 韓國菜 / 網店/食品分銷 / $101-200
毓華里24號嘉茜大廈地下C號舖,黃大仙 / 粵菜 (廣東) / 港式 / $51-100
正德街103號黃大仙中心南館地下G12J號舖,黃大仙 / 滬菜 (上海) / $50以下
彩虹道121號啟德花園商場二期地下7A號舖,黃大仙 / 粵菜 (廣東) / 涼茶/龜苓膏 / $50以下
正德街103號黃大仙中心南館地下G10C號舖,黃大仙 / 港式 / 網店/食品分銷 / $101-200
竹園道15號竹園廣場地下竹園市場81-82號舖,黃大仙 / 港式 / 點心 / $50以下
正德街103號黃大仙中心南館地下G12F號舖,黃大仙 / 港式 / 山珍海味 / $101-200
鳳樂亭,鳳德道42號鳳德公園小食亭
榮華餅家,正德街103號黃大仙中心南館LG樓LG7號舖
太平洋酒吧 (鳳德道),鳳德道31號地舖
龍蟠苑商場108號舖,黃大仙 / 港式 / 麵包店 / $50以下
德記,彩虹道121號大成街街市2樓CF7-8號舖
彩虹道121號大成街街市2樓CF6號舖,黃大仙 / 潮州菜 / 咖啡店 / $51-100
Coti the Bistro (五芳街),五芳街31-33號永顯工廠大廈地下C號舖
海膽仔,衍慶街2-32號新蒲崗大廈地下Q號舖
泫居酒屋,太子道西426號地舖
陳儀興玫瑰餐廳,爵祿街33A-37A號百勝工廠大廈地舖
小火焰韓式咖啡廳 (樂富廣場),聯合道198號樂富廣場A區1樓1171-1179號舖
豆漿大王,大有街34號新科技廣場地下9號舖
陳儀興飯店 (崇齡街),崇齡街40號地舖
和歌山 (樂富廣場),聯合道198號樂富廣場A區1樓1106-1107號舖
Brew Dog Coffee Co.,大有街3號萬廸廣場1樓L號舖
龍門樓 - 志蓮素齋,鳳德道60號南蓮園池龍門樓
Antoshimo Cafe & Bakery (荷里活廣場),龍蟠街3號荷里活廣場1樓182號舖
たまご園 (荷里活廣場),龍蟠街3號荷里活廣場2樓282號舖
夏麵館 (荷里活廣場),龍蟠街3號荷里活廣場1樓173A號舖
日牛涮涮鍋專門店,龍蟠街3號荷里活廣場3樓311B號舖
新蒲崗餐室,大有街35號義發工業大廈地下B號舖
味源車仔麵 (已搬遷),銀鳳街7A號
小四川 (已搬遷),飛鳳街33號地下
鳳凰骨煲皇 (已搬遷),飛鳳街34號地下
美心MX (已搬遷),竹園南村竹園中心1樓
波仔 (已搬遷),竹園南村商場1樓S104舖
小魚兒 (已搬遷),鳳凰新村環鳳街19號地舖
Tea 噎 Tea (已搬遷),龍翔道136號龍翔中心地下G7D舖
